asset_id,asset_name,device_type,manufacturer,purchase_year,warranty_status,location
AST00001,MAIN-5622,Printer,HP,2019,Expired,Hyderabad
AST00002,CHURCH-2477,Desktop,Dell,2020,Expired,Mumbai
AST00003,SCORE-7885,Printer,Apple,2021,Expired,Noida
AST00004,CLEAR-1519,Printer,Dell,2024,Active,Hyderabad
AST00005,ALTHOUGH-7429,Laptop,Asus,2021,Expired,Chennai
AST00006,BASE-5097,Server,Dell,2020,Active,Mumbai
AST00007,ARTIST-8257,Desktop,Acer,2022,Active,Mumbai
AST00008,PEOPLE-2539,Mobile,Acer,2022,Active,Noida
AST00009,TYPE-6113,Printer,HP,2022,Active,Bangalore
AST00010,BUY-8884,Tablet,Lenovo,2021,Active,Pune
AST00011,CHOOSE-4568,Laptop,HP,2019,Expired,Pune
AST00012,BOX-3742,Printer,Asus,2019,Active,Kolkata
AST00013,LIST-4982,Laptop,Dell,2025,Expired,Chennai
AST00014,CARD-2466,Desktop,HP,2021,Expired,Bangalore
AST00015,CHURCH-6544,Tablet,Dell,2024,Active,Pune
AST00016,SEVERAL-3521,Tablet,Asus,2024,Active,Chennai
AST00017,BACK-4812,Printer,Asus,2022,Expired,Noida
AST00018,FEAR-4161,Laptop,Acer,2024,Expired,Pune
AST00019,SPEECH-3207,Printer,Dell,2024,Expired,Noida
AST00020,GO-5828,Mobile,Acer,2023,Expired,Mumbai
AST00021,RISE-4057,Mobile,Lenovo,2023,Expired,Noida
AST00022,FRONT-3627,Laptop,Asus,2021,Active,Noida
AST00023,PARTICULARLY-5314,Mobile,Lenovo,2021,Expired,Hyderabad
AST00024,EDGE-9289,Server,Acer,2025,Active,Hyderabad
AST00025,SERIOUS-6965,Mobile,HP,2023,Expired,Bangalore
AST00026,MEET-9830,Server,HP,2024,Expired,Chennai
AST00027,LEARN-5638,Printer,Apple,2023,Expired,Bangalore
AST00028,IT-9572,Tablet,Dell,2019,Active,Chennai
AST00029,CAN-1512,Desktop,Dell,2020,Expired,Mumbai
AST00030,WONDER-1521,Mobile,Acer,2019,Expired,Noida
AST00031,QUICKLY-5193,Laptop,Lenovo,2023,Active,Bangalore
AST00032,RELATE-4419,Tablet,Apple,2019,Active,Noida
AST00033,YES-1994,Printer,Asus,2025,Expired,Pune
AST00034,REMAIN-1955,Mobile,Lenovo,2025,Active,Bangalore
AST00035,OLD-5979,Laptop,HP,2025,Active,Bangalore
AST00036,SHOULDER-4784,Mobile,Apple,2024,Active,Mumbai
AST00037,PEOPLE-5075,Mobile,Acer,2023,Active,Kolkata
AST00038,FIVE-2728,Tablet,Asus,2024,Expired,Noida
AST00039,WRITE-7997,Laptop,HP,2024,Active,Kolkata
AST00040,SECURITY-6529,Tablet,HP,2023,Expired,Pune
AST00041,DETERMINE-6319,Printer,Apple,2021,Expired,Pune
AST00042,WAR-4943,Mobile,Asus,2023,Active,Kolkata
AST00043,MATERIAL-5162,Printer,Apple,2025,Expired,Kolkata
AST00044,REALITY-1567,Printer,Asus,2019,Active,Chennai
AST00045,ALONG-1107,Printer,HP,2021,Active,Pune
AST00046,HIMSELF-5521,Mobile,Asus,2019,Active,Bangalore
AST00047,CLOSE-8542,Printer,HP,2019,Active,Delhi
AST00048,INCLUDE-5093,Desktop,Lenovo,2021,Expired,Bangalore
AST00049,DARK-7550,Mobile,HP,2023,Active,Pune
AST00050,HAIR-8905,Desktop,Apple,2025,Active,Delhi
AST00051,ATTORNEY-7251,Laptop,Dell,2019,Expired,Pune
AST00052,APPEAR-8115,Server,Dell,2025,Active,Hyderabad
AST00053,ALMOST-7266,Laptop,Lenovo,2024,Active,Pune
AST00054,THOUGHT-3450,Printer,Asus,2023,Active,Chennai
AST00055,TONIGHT-7436,Server,Asus,2019,Active,Mumbai
AST00056,SUGGEST-5747,Server,HP,2022,Active,Pune
AST00057,ENTIRE-8796,Mobile,Acer,2019,Active,Kolkata
AST00058,IMPROVE-2393,Server,Asus,2021,Expired,Chennai
AST00059,CULTURE-3209,Server,Asus,2025,Active,Noida
AST00060,TAX-4212,Mobile,Asus,2022,Active,Mumbai
AST00061,MODERN-5362,Server,Lenovo,2019,Active,Bangalore
AST00062,MAJOR-7776,Server,Lenovo,2024,Expired,Mumbai
AST00063,REASON-6644,Mobile,Acer,2021,Active,Delhi
AST00064,INFORMATION-6729,Mobile,Apple,2020,Active,Noida
AST00065,STEP-4825,Desktop,Acer,2019,Expired,Chennai
AST00066,SECURITY-2405,Laptop,Acer,2025,Active,Mumbai
AST00067,TRAVEL-3419,Printer,Dell,2023,Expired,Bangalore
AST00068,GAME-8373,Server,Dell,2021,Expired,Mumbai
AST00069,LISTEN-9814,Desktop,HP,2024,Expired,Noida
AST00070,CELL-3315,Tablet,Acer,2023,Active,Kolkata
AST00071,TEAM-9631,Laptop,Lenovo,2023,Active,Hyderabad
AST00072,GENERAL-4288,Tablet,Asus,2021,Expired,Hyderabad
AST00073,SKILL-1136,Laptop,Apple,2022,Expired,Pune
AST00074,SECOND-2767,Laptop,Lenovo,2025,Expired,Mumbai
AST00075,KNOWLEDGE-9331,Tablet,Dell,2022,Expired,Noida
AST00076,REASON-9709,Laptop,HP,2025,Active,Noida
AST00077,FORWARD-1352,Laptop,HP,2023,Expired,Pune
AST00078,WHOLE-7445,Tablet,HP,2022,Active,Pune
AST00079,SOCIETY-6765,Printer,Acer,2024,Expired,Mumbai
AST00080,OUR-5519,Laptop,Acer,2023,Expired,Kolkata
AST00081,TRIP-1482,Mobile,Lenovo,2025,Active,Chennai
AST00082,SCENE-7436,Tablet,HP,2021,Active,Kolkata
AST00083,CREATE-4726,Server,HP,2023,Active,Kolkata
AST00084,ACCOUNT-6395,Server,Asus,2021,Active,Mumbai
AST00085,TRUE-3270,Mobile,Asus,2024,Active,Chennai
AST00086,STEP-9582,Desktop,Apple,2021,Active,Chennai
AST00087,COMMUNITY-2111,Mobile,Asus,2021,Active,Chennai
