issue,category,subcategory,root_cause,resolution,keywords,assignment_group,estimated_resolution_hours
Laptop not booting,Hardware,Boot Issue,Corrupted boot files,Run startup repair and replace SSD if required,"laptop,hardware",Desktop Support,2
Battery not charging,Hardware,Battery,Faulty charger,Replace charger and battery if needed,"battery,hardware",Desktop Support,2
Keyboard not working,Hardware,Input Device,Driver issue,Reinstall keyboard drivers,"keyboard,hardware",Desktop Support,2
Mouse disconnected,Hardware,Input Device,USB issue,Reconnect USB and reinstall drivers,"mouse,hardware",Desktop Support,2
Laptop overheating,Hardware,Thermal,Dust accumulation,Clean cooling fan and replace thermal paste,"laptop,hardware",Desktop Support,2
Laptop not booting (2),Hardware,Boot Issue,Corrupted boot files,Run startup repair and replace SSD if required,"laptop,hardware",Desktop Support,2
Battery not charging (2),Hardware,Battery,Faulty charger,Replace charger and battery if needed,"battery,hardware",Desktop Support,2
Keyboard not working (2),Hardware,Input Device,Driver issue,Reinstall keyboard drivers,"keyboard,hardware",Desktop Support,2
Mouse disconnected (2),Hardware,Input Device,USB issue,Reconnect USB and reinstall drivers,"mouse,hardware",Desktop Support,2
Laptop overheating (2),Hardware,Thermal,Dust accumulation,Clean cooling fan and replace thermal paste,"laptop,hardware",Desktop Support,2
Laptop not booting (3),Hardware,Boot Issue,Corrupted boot files,Run startup repair and replace SSD if required,"laptop,hardware",Desktop Support,2
Battery not charging (3),Hardware,Battery,Faulty charger,Replace charger and battery if needed,"battery,hardware",Desktop Support,2
Keyboard not working (3),Hardware,Input Device,Driver issue,Reinstall keyboard drivers,"keyboard,hardware",Desktop Support,2
Mouse disconnected (3),Hardware,Input Device,USB issue,Reconnect USB and reinstall drivers,"mouse,hardware",Desktop Support,2
Laptop overheating (3),Hardware,Thermal,Dust accumulation,Clean cooling fan and replace thermal paste,"laptop,hardware",Desktop Support,2
Laptop not booting (4),Hardware,Boot Issue,Corrupted boot files,Run startup repair and replace SSD if required,"laptop,hardware",Desktop Support,2
